lhs,rhs,IR,kulc,lift,sup_lhs,conf
"['其他区域堆放施工废弃料', '下水井盖']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '其他区域堆放施工废弃料']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['其他区域堆放施工废弃料', '施工安全隐患']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['其他区域堆放施工废弃料', '下水井盖']",['施工安全隐患'],0.444444444,0.777777778,5.333333333,0.104166667,1
"['道路破损', '社区公共管理']",['下水井盖'],0.625,0.6875,3,0.125,1
"['施工安全隐患', '上水井盖']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['施工安全隐患', '社区公共管理']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '社区公共管理']",['施工安全隐患'],0.3,0.694444444,4.444444444,0.125,0.833333333
"['道路破损', '施工安全隐患']",['社区公共管理'],0.222222222,0.729166667,5,0.125,0.833333333
"['城市管理', '下水井盖']",['道路破损'],0.333333333,0.701298701,3.74025974,0.145833333,0.857142857
"['道路破损', '城市管理']",['下水井盖'],0.529411765,0.616071429,2.571428571,0.145833333,0.857142857
"['下水井盖', '施工安全隐患']",['道路破损'],0.333333333,0.701298701,3.74025974,0.145833333,0.857142857
"['道路破损', '施工安全隐患']",['下水井盖'],0.625,0.6875,3,0.125,1
"['城市管理', '社区公共管理']",['上水井盖'],0.363636364,0.666666667,4,0.125,0.833333333
"['社区公共管理', '上水井盖']",['城市管理'],0.583333333,0.708333333,4,0.104166667,1
"['城市管理', '上水井盖']",['社区公共管理'],0.222222222,0.729166667,5,0.125,0.833333333
"['施工安全隐患', '社区公共管理']",['城市管理'],0.583333333,0.708333333,4,0.104166667,1
"['城市管理', '社区公共管理']",['施工安全隐患'],0.3,0.694444444,4.444444444,0.125,0.833333333
"['城市管理', '施工安全隐患']",['社区公共管理'],0.375,0.8125,6,0.104166667,1
"['通讯井盖', '上水井盖']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['道路破损', '上水井盖']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['其他区域堆放施工废弃料', '施工安全隐患']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '施工安全隐患']",['其他区域堆放施工废弃料'],0.125,0.773809524,5.714285714,0.125,0.833333333
"['道路破损', '其他区域堆放施工废弃料']",['施工安全隐患'],0.444444444,0.777777778,5.333333333,0.104166667,1
"['城市管理', '社区公共管理']",['道路破损'],0.454545455,0.772727273,4.363636364,0.125,1
"['道路破损', '社区公共管理']",['城市管理'],0.5,0.75,4,0.125,1
"['道路破损', '城市管理']",['社区公共管理'],0.111111111,0.803571429,5.142857143,0.145833333,0.857142857
"['道路破损', '施工安全隐患', '社区公共管理']",['城市管理'],0.583333333,0.708333333,4,0.104166667,1
"['道路破损', '城市管理', '社区公共管理']",['施工安全隐患'],0.3,0.694444444,4.444444444,0.125,0.833333333
"['道路破损', '城市管理', '施工安全隐患']",['社区公共管理'],0.375,0.8125,6,0.104166667,1
"['城市管理', '施工安全隐患', '社区公共管理']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '社区公共管理']","['城市管理', '施工安全隐患']",0.166666667,0.916666667,8,0.125,0.833333333
"['道路破损', '施工安全隐患']","['城市管理', '社区公共管理']",0,0.833333333,6.666666667,0.125,0.833333333
"['施工安全隐患', '社区公共管理']","['道路破损', '城市管理']",0.285714286,0.857142857,6.857142857,0.104166667,1
"['城市管理', '社区公共管理']","['道路破损', '施工安全隐患']",0,0.833333333,6.666666667,0.125,0.833333333
"['城市管理', '施工安全隐患']","['道路破损', '社区公共管理']",0.166666667,0.916666667,8,0.104166667,1
"['道路破损', '下水井盖', '施工安全隐患']",['城市管理'],0.461538462,0.625,3.333333333,0.125,0.833333333
"['道路破损', '城市管理', '施工安全隐患']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['道路破损', '城市管理', '下水井盖']",['施工安全隐患'],0.3,0.694444444,4.444444444,0.125,0.833333333
"['城市管理', '下水井盖', '施工安全隐患']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '施工安全隐患']","['城市管理', '下水井盖']",0.125,0.773809524,5.714285714,0.125,0.833333333
"['城市管理', '施工安全隐患']","['道路破损', '下水井盖']",0.444444444,0.777777778,5.333333333,0.104166667,1
"['道路破损', '社区公共管理', '上水井盖']",['城市管理'],0.583333333,0.708333333,4,0.104166667,1
"['道路破损', '城市管理', '社区公共管理']",['上水井盖'],0.363636364,0.666666667,4,0.125,0.833333333
"['城市管理', '社区公共管理', '上水井盖']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '城市管理', '上水井盖']",['社区公共管理'],0.375,0.8125,6,0.104166667,1
"['道路破损', '社区公共管理']","['城市管理', '上水井盖']",0,0.833333333,6.666666667,0.125,0.833333333
"['社区公共管理', '上水井盖']","['道路破损', '城市管理']",0.285714286,0.857142857,6.857142857,0.104166667,1
"['道路破损', '上水井盖']","['城市管理', '社区公共管理']",0.166666667,0.916666667,8,0.104166667,1
"['城市管理', '社区公共管理']","['道路破损', '上水井盖']",0.166666667,0.916666667,8,0.125,0.833333333
"['城市管理', '上水井盖']","['道路破损', '社区公共管理']",0,0.833333333,6.666666667,0.125,0.833333333
"['道路破损', '下水井盖', '社区公共管理']",['上水井盖'],0.363636364,0.666666667,4,0.125,0.833333333
"['道路破损', '社区公共管理', '上水井盖']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['道路破损', '下水井盖', '上水井盖']",['社区公共管理'],0.375,0.8125,6,0.104166667,1
"['下水井盖', '社区公共管理', '上水井盖']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '社区公共管理']","['下水井盖', '上水井盖']",0.3,0.694444444,4.444444444,0.125,0.833333333
"['道路破损', '上水井盖']","['下水井盖', '社区公共管理']",0.375,0.8125,6,0.104166667,1
"['社区公共管理', '上水井盖']","['道路破损', '下水井盖']",0.444444444,0.777777778,5.333333333,0.104166667,1
"['道路破损', '下水井盖', '施工安全隐患']",['其他区域堆放施工废弃料'],0.125,0.773809524,5.714285714,0.125,0.833333333
"['道路破损', '其他区域堆放施工废弃料', '施工安全隐患']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['道路破损', '其他区域堆放施工废弃料', '下水井盖']",['施工安全隐患'],0.444444444,0.777777778,5.333333333,0.104166667,1
"['其他区域堆放施工废弃料', '下水井盖', '施工安全隐患']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '施工安全隐患']","['其他区域堆放施工废弃料', '下水井盖']",0.166666667,0.916666667,8,0.125,0.833333333
"['道路破损', '其他区域堆放施工废弃料']","['下水井盖', '施工安全隐患']",0.285714286,0.857142857,6.857142857,0.104166667,1
"['其他区域堆放施工废弃料', '施工安全隐患']","['道路破损', '下水井盖']",0.444444444,0.777777778,5.333333333,0.104166667,1
"['其他区域堆放施工废弃料', '下水井盖']","['道路破损', '施工安全隐患']",0.166666667,0.916666667,8,0.104166667,1
"['下水井盖', '施工安全隐患', '社区公共管理']",['城市管理'],0.583333333,0.708333333,4,0.104166667,1
"['城市管理', '施工安全隐患', '社区公共管理']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['城市管理', '下水井盖', '社区公共管理']",['施工安全隐患'],0.3,0.694444444,4.444444444,0.125,0.833333333
"['城市管理', '下水井盖', '施工安全隐患']",['社区公共管理'],0.375,0.8125,6,0.104166667,1
"['施工安全隐患', '社区公共管理']","['城市管理', '下水井盖']",0.285714286,0.857142857,6.857142857,0.104166667,1
"['城市管理', '社区公共管理']","['下水井盖', '施工安全隐患']",0.125,0.773809524,5.714285714,0.125,0.833333333
"['城市管理', '施工安全隐患']","['下水井盖', '社区公共管理']",0.375,0.8125,6,0.104166667,1
"['城市管理', '下水井盖', '社区公共管理']",['上水井盖'],0.363636364,0.666666667,4,0.125,0.833333333
"['下水井盖', '社区公共管理', '上水井盖']",['城市管理'],0.583333333,0.708333333,4,0.104166667,1
"['城市管理', '社区公共管理', '上水井盖']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['城市管理', '下水井盖', '上水井盖']",['社区公共管理'],0.222222222,0.729166667,5,0.125,0.833333333
"['城市管理', '社区公共管理']","['下水井盖', '上水井盖']",0.3,0.694444444,4.444444444,0.125,0.833333333
"['社区公共管理', '上水井盖']","['城市管理', '下水井盖']",0.285714286,0.857142857,6.857142857,0.104166667,1
"['城市管理', '上水井盖']","['下水井盖', '社区公共管理']",0.222222222,0.729166667,5,0.125,0.833333333
"['道路破损', '施工安全隐患', '社区公共管理']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['道路破损', '下水井盖', '社区公共管理']",['施工安全隐患'],0.3,0.694444444,4.444444444,0.125,0.833333333
"['道路破损', '下水井盖', '施工安全隐患']",['社区公共管理'],0.222222222,0.729166667,5,0.125,0.833333333
"['下水井盖', '施工安全隐患', '社区公共管理']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '社区公共管理']","['下水井盖', '施工安全隐患']",0.125,0.773809524,5.714285714,0.125,0.833333333
"['道路破损', '施工安全隐患']","['下水井盖', '社区公共管理']",0.222222222,0.729166667,5,0.125,0.833333333
"['施工安全隐患', '社区公共管理']","['道路破损', '下水井盖']",0.444444444,0.777777778,5.333333333,0.104166667,1
"['道路破损', '下水井盖', '社区公共管理']",['城市管理'],0.5,0.75,4,0.125,1
"['道路破损', '城市管理', '社区公共管理']",['下水井盖'],0.625,0.6875,3,0.125,1
"['道路破损', '城市管理', '下水井盖']",['社区公共管理'],0.25,0.875,6,0.125,1
"['城市管理', '下水井盖', '社区公共管理']",['道路破损'],0.454545455,0.772727273,4.363636364,0.125,1
"['道路破损', '社区公共管理']","['城市管理', '下水井盖']",0.142857143,0.928571429,6.857142857,0.125,1
"['道路破损', '城市管理']","['下水井盖', '社区公共管理']",0.111111111,0.803571429,5.142857143,0.145833333,0.857142857
"['城市管理', '社区公共管理']","['道路破损', '下水井盖']",0.333333333,0.833333333,5.333333333,0.125,1
"['城市管理', '下水井盖']","['道路破损', '社区公共管理']",0.142857143,0.928571429,6.857142857,0.145833333,0.857142857
"['道路破损', '下水井盖', '上水井盖']",['城市管理'],0.583333333,0.708333333,4,0.104166667,1
"['道路破损', '城市管理', '上水井盖']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['道路破损', '城市管理', '下水井盖']",['上水井盖'],0.363636364,0.666666667,4,0.125,0.833333333
"['城市管理', '下水井盖', '上水井盖']",['道路破损'],0.416666667,0.643939394,3.636363636,0.125,0.833333333
"['道路破损', '上水井盖']","['城市管理', '下水井盖']",0.285714286,0.857142857,6.857142857,0.104166667,1
"['城市管理', '上水井盖']","['道路破损', '下水井盖']",0.3,0.694444444,4.444444444,0.125,0.833333333
"['城市管理', '下水井盖', '施工安全隐患', '社区公共管理']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '下水井盖', '施工安全隐患', '社区公共管理']",['城市管理'],0.583333333,0.708333333,4,0.104166667,1
"['道路破损', '城市管理', '施工安全隐患', '社区公共管理']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['道路破损', '城市管理', '下水井盖', '社区公共管理']",['施工安全隐患'],0.3,0.694444444,4.444444444,0.125,0.833333333
"['道路破损', '城市管理', '下水井盖', '施工安全隐患']",['社区公共管理'],0.375,0.8125,6,0.104166667,1
"['下水井盖', '施工安全隐患', '社区公共管理']","['道路破损', '城市管理']",0.285714286,0.857142857,6.857142857,0.104166667,1
"['城市管理', '施工安全隐患', '社区公共管理']","['道路破损', '下水井盖']",0.444444444,0.777777778,5.333333333,0.104166667,1
"['城市管理', '下水井盖', '社区公共管理']","['道路破损', '施工安全隐患']",0,0.833333333,6.666666667,0.125,0.833333333
"['城市管理', '下水井盖', '施工安全隐患']","['道路破损', '社区公共管理']",0.166666667,0.916666667,8,0.104166667,1
"['道路破损', '施工安全隐患', '社区公共管理']","['城市管理', '下水井盖']",0.285714286,0.857142857,6.857142857,0.104166667,1
"['道路破损', '下水井盖', '社区公共管理']","['城市管理', '施工安全隐患']",0.166666667,0.916666667,8,0.125,0.833333333
"['道路破损', '下水井盖', '施工安全隐患']","['城市管理', '社区公共管理']",0,0.833333333,6.666666667,0.125,0.833333333
"['道路破损', '城市管理', '社区公共管理']","['下水井盖', '施工安全隐患']",0.125,0.773809524,5.714285714,0.125,0.833333333
"['道路破损', '城市管理', '施工安全隐患']","['下水井盖', '社区公共管理']",0.375,0.8125,6,0.104166667,1
"['道路破损', '城市管理', '下水井盖']","['施工安全隐患', '社区公共管理']",0.166666667,0.916666667,8,0.125,0.833333333
"['施工安全隐患', '社区公共管理']","['道路破损', '城市管理', '下水井盖']",0.166666667,0.916666667,8,0.104166667,1
"['城市管理', '社区公共管理']","['道路破损', '下水井盖', '施工安全隐患']",0,0.833333333,6.666666667,0.125,0.833333333
"['城市管理', '施工安全隐患']","['道路破损', '下水井盖', '社区公共管理']",0.166666667,0.916666667,8,0.104166667,1
"['道路破损', '社区公共管理']","['城市管理', '下水井盖', '施工安全隐患']",0.166666667,0.916666667,8,0.125,0.833333333
"['道路破损', '施工安全隐患']","['城市管理', '下水井盖', '社区公共管理']",0,0.833333333,6.666666667,0.125,0.833333333
"['道路破损', '城市管理', '下水井盖', '社区公共管理']",['上水井盖'],0.363636364,0.666666667,4,0.125,0.833333333
"['城市管理', '下水井盖', '社区公共管理', '上水井盖']",['道路破损'],0.545454545,0.727272727,4.363636364,0.104166667,1
"['道路破损', '下水井盖', '社区公共管理', '上水井盖']",['城市管理'],0.583333333,0.708333333,4,0.104166667,1
"['道路破损', '城市管理', '社区公共管理', '上水井盖']",['下水井盖'],0.6875,0.65625,3,0.104166667,1
"['道路破损', '城市管理', '下水井盖', '上水井盖']",['社区公共管理'],0.375,0.8125,6,0.104166667,1
"['城市管理', '下水井盖', '社区公共管理']","['道路破损', '上水井盖']",0.166666667,0.916666667,8,0.125,0.833333333
"['道路破损', '下水井盖', '社区公共管理']","['城市管理', '上水井盖']",0,0.833333333,6.666666667,0.125,0.833333333
"['道路破损', '城市管理', '社区公共管理']","['下水井盖', '上水井盖']",0.3,0.694444444,4.444444444,0.125,0.833333333
"['道路破损', '城市管理', '下水井盖']","['社区公共管理', '上水井盖']",0.166666667,0.916666667,8,0.125,0.833333333
"['下水井盖', '社区公共管理', '上水井盖']","['道路破损', '城市管理']",0.285714286,0.857142857,6.857142857,0.104166667,1
"['城市管理', '社区公共管理', '上水井盖']","['道路破损', '下水井盖']",0.444444444,0.777777778,5.333333333,0.104166667,1
"['城市管理', '下水井盖', '上水井盖']","['道路破损', '社区公共管理']",0,0.833333333,6.666666667,0.125,0.833333333
"['道路破损', '社区公共管理', '上水井盖']","['城市管理', '下水井盖']",0.285714286,0.857142857,6.857142857,0.104166667,1
"['道路破损', '下水井盖', '上水井盖']","['城市管理', '社区公共管理']",0.166666667,0.916666667,8,0.104166667,1
"['道路破损', '城市管理', '上水井盖']","['下水井盖', '社区公共管理']",0.375,0.8125,6,0.104166667,1
"['城市管理', '社区公共管理']","['道路破损', '下水井盖', '上水井盖']",0.166666667,0.916666667,8,0.125,0.833333333
"['道路破损', '社区公共管理']","['城市管理', '下水井盖', '上水井盖']",0,0.833333333,6.666666667,0.125,0.833333333
"['社区公共管理', '上水井盖']","['道路破损', '城市管理', '下水井盖']",0.166666667,0.916666667,8,0.104166667,1
"['城市管理', '上水井盖']","['道路破损', '下水井盖', '社区公共管理']",0,0.833333333,6.666666667,0.125,0.833333333
"['道路破损', '上水井盖']","['城市管理', '下水井盖', '社区公共管理']",0.166666667,0.916666667,8,0.104166667,1
